company_name,city,state,funding_stage,last_funding_date,estimated_revenue,operating_status,website,full_description,employee_range,contact_email,founder_name,industries
Bluesky,Seattle,Washington,Series B,"Apr 1, 2025",,Active,bsky.social,"Bluesky develops an open social media and a microblogging platform designed to facilitate decentralized communication and user identity. The organization provides an ecosystem where individuals can choose their own algorithms, subscribe to custom feeds, and manage their experience through personalized moderation tools. Its infrastructure allows for a shared identity across the social internet, enabling developers to build independent applications on a common foundation.",11-50,support@bsky.app,Jay Graber,"Media and Entertainment, Messaging and Telecommunications, Software, Apps, Messaging, Social Media, Social Network"
Function Health,Austin,Texas,Series B,"Nov 19, 2025",$10M to $50M,Active,www.functionhealth.com,Function Health is a health platform offering lab tests to help individuals monitor their health.,11-50,hello@functionhealth.com,Daniel Swerdlin,"Health Care, Health Diagnostics, Medical, Personal Health, Software"
Writer,San Francisco,California,Series C,"Nov 12, 2024",$50M to $100M,Active,writer.com,"Writer is a full-stack generative AI platform that helps businesses use large language models to generate writing and content that can be used across different departments, including operations, products, sales, human resources, marketing, and more. Its platform provides an integrated system of LLMs, graph-based RAG, AI guardrails, and development tools for organizations to deploy AI apps and workflows that deliver impactful return on investment.",251-500,marketing@writer.com,May Habib,"Science and Engineering, Software, Agentic AI, Content, Foundational AI, Generative AI, Natural Language Processing"
Sage,Brooklyn,New York,Series C,"Mar 5, 2026",,Active,www.sagehealth.com,"Sage develops software and connected hardware used by senior living communities to manage resident care and facility operations. The company provides a unified care platform that integrates nurse call systems, fall detection tools, communication features, and data analytics into a single environment used by caregivers and facility staff. Its platform includes products such as Sage Core, Sage Detect, and Sage Insight, which support care coordination, safety monitoring, and operational visibility across assisted living and long-term care environments. The system collects real-time information from devices and care workflows to help staff track resident needs, respond to alerts, and document care activities. Facilities use the platform to manage tasks such as call response, fall management, and communication between caregivers and administrators. The software also integrates with electronic health records and other facility systems to create a centralized source of information about resident care and operational activities.",101-250,bd@hellosage.com,Ellen Johnston,"Elder Care, Medical, Nursing and Residential Care, Software"
Parallel,Palo Alto,California,Series B,"Apr 28, 2026",,Active,www.parallel.ai,"Parallel develops web-based infrastructure and APIs designed to enable artificial intelligence systems to access, process, and act on information from the open web. Its platform provides tools such as search, extraction, task execution, and monitoring APIs that allow AI agents to perform complex, multi-step research and data retrieval workflows. The company focuses on building systems that combine data retrieval, computation, and reasoning into unified outputs, emphasizing verifiable results and traceable sources. Its technology supports use cases such as structured data generation, continuous web monitoring, and automated dataset enrichment using real-time web data. Overall, Parallel Web Systems is oriented toward creating infrastructure that enables AI agents to interact with the web programmatically rather than through traditional human browsing patterns.",11-50,hello@parallel.ai.,Parag Agrawal,"Science and Engineering, Software, Artificial Intelligence (AI), Developer APIs, Information Technology"
Clay,New York,New York,Series C,"Jun 13, 2025",,Active,clay.com,"Clay provides a platform for go-to-market teams to use unique data and AI. The platform offers access to over 100 data providers for contact information, firmographics, and other data points. It also includes an AI research agent to automate manual research and create flexible workflows.",101-250,friends@clay.com,Kareem Amin,"Sales and Marketing, Science and Engineering, Software, Artificial Intelligence (AI), Developer Tools, Lead Generation, Productivity Tools, Sales Automation"
Kashable,New York,New York,Series C,"Apr 27, 2026",,Active,kashable.com,"Kashable is a financial technology company that provides employer-sponsored lending and financial wellness solutions to employees. The platform offers access to personal loans as a voluntary workplace benefit, with repayment typically managed through payroll deductions and integrated with employer HR and payroll systems. It focuses on delivering financing options intended for workers who may need funds for unexpected expenses, with loan amounts, terms, and rates determined based on eligibility and financial history. In addition to lending, Kashable provides tools such as budgeting support, credit monitoring, and financial education resources to help users manage their finances. The company operates through partnerships with employers and benefits platforms to extend these services to a broad employee base across various industries.",101-250,info@kashable.com,Einat Steklov,"Other, Consumer, Employee Benefits, Finance, Financial Services, FinTech"
AcuityMD,Boston,Massachusetts,Series C,"Apr 21, 2026",,Active,acuitymd.com,"AcuityMD provides a software platform designed for the medical technology sector that integrates healthcare data with internal sales information to support commercial decision-making. Its system enables users to identify target markets, evaluate opportunities, and manage sales processes such as pipeline tracking, territory alignment, and contract performance within a unified workflow. The platform combines real-world healthcare data with analytics to help organizations understand how and where medical devices are used, translating complex data into actionable insights for sales and marketing teams. It is used by a range of medical device companies, from early-stage firms to large enterprises, to guide commercialization strategies and monitor market performance.",251-500,info@acuitymd.com,Lee Smith,"Health Care, Information Technology, Medical Device, mHealth"
eMed,Miami,Florida,Series A,"Mar 26, 2026",$10M to $50M,Active,www.emed.com,"eMed provides digital healthcare services that combine telehealth consultations, diagnostic testing, and treatment support through an integrated platform. The eMed Population Health app, funded by employers, is a personalized tool for weight management, helping users take control of their health. eMed facilitates easier connections with patients through features like live video consultations and real-time scheduling.",101-250,,Dr. Patrice A. Harris,"Internet Services, Mobile, Software, Agentic AI, Communications Infrastructure, Health Care, Internet, mHealth"
Wealth.com,Tempe,Arizona,Series B,"Apr 16, 2026",$50M to $100M,Active,wealth.com,"Wealth.com provides an artificial intelligence-powered estate and tax planning platform designed for financial advisors, enabling them to deliver structured, ongoing wealth planning services to clients. The company’s software integrates estate planning, tax analysis, and financial data into a single system that supports the creation, management, and continuous optimization of wealth strategies. Its core platform allows advisors to generate legal estate planning documents such as wills, trusts, and powers of attorney, while also offering tools to visualize wealth transfer scenarios and model long-term outcomes. The system includes a client portal where individuals can upload documents, track assets, and collaborate with advisors and other professionals involved in their financial planning.",51-100,info@wealth.com,Danny Lohrfink,"Science and Engineering, Software, Artificial Intelligence (AI), Financial Services, FinTech, Machine Learning, Wealth Management"
Cowbell,Pleasanton,California,Series C,"Jul 26, 2024",$100M to $500M,Active,cowbell.insure,"Cowbell is a pioneer of Adaptive Cyber Insurance, leading the way in providing small and medium-sized enterprises (SMEs) with coverage adaptable to today's and tomorrow's threats and the advanced warning of cyber risk exposures. With its unique AI-based approach to risk selection and pricing, Cowbell's continuous underwriting platform, powered by Cowbell Factors, compresses the insurance process from submission to issue in less than 5 minutes. Backed by 25 prominent global (re)insurance partners, Cowbell serves SMEs across 50 U.S. states, the District of Columbia, and the United Kingdom, assessing businesses with revenues up to $1B globally. Founded in 2019, Cowbell is based in the San Francisco Bay Area and has employees across the U.S., Canada, India, and the U.K.",101-250,webrequest@cowbellcyber.ai,Jack Kudale,"Professional Services, Science and Engineering, Software, Artificial Intelligence (AI), FinTech, Insurance, InsurTech, Risk Management"
Factory,San Francisco,California,Series C,"Apr 16, 2026",,Active,www.factory.ai,"Factory functions within integrated development environments, command line interfaces, and continuous integration pipelines. The technology allows for the delegation of technical tasks, including code refactors, system migrations, and incident responses. These digital agents also perform automated code reviews and facilitate the maintenance of builds during the development process. Integration extends to communication platforms and project management software, allowing users to trigger actions from various interfaces. The system supports the parallelization of agents to manage software updates and maintenance across multiple operating systems.",101-250,support@factory.ai,Eno Reyes,"Software, Agentic AI, Artificial Intelligence (AI), Developer Tools, Software Engineering"
Mercor,San Francisco,California,Series C,"Oct 27, 2025",$100M to $500M,Active,mercor.com,"Mercor presents an AI-powered platform that helps connect domain experts with roles in AI and other tech disciplines. It supports sourcing, vetting, and payment for talent, offering remote, expert-level assignments across fields like software engineering, consulting, data and legal. Additionally, the platform includes an interview preparation section where candidates can access hundreds of expert-reviewed mock interviews in areas such as software, design, security and analytics. Mercor uses machine-driven interview tools to assess candidate performance, aiming to streamline how expertise is matched to project work.",251-500,support@mercor.com,Adarsh Hiremath,"Science and Engineering, Software, Artificial Intelligence (AI), Employment, Machine Learning, Recruiting"
Kailera Therapeutics,Waltham,Massachusetts,Series B,"Oct 14, 2025",,Active,www.kailera.com,"Kailera Therapeutics is a clinical-stage biopharmaceutical company developing therapeutic pipelines for obesity and type 2 diabetes. The pipeline includes injectable and oral peptides, such as GLP-1/GIP and GLP-1/GIP/Glucagon receptor agonists. Kailera Therapeutics licenses its therapies and conducts clinical trials focused on delivering treatment options for chronic weight management.",101-250,Johrenk7@gmail.com,,"Biotechnology, Pharmaceutical, Therapeutics"
Suno,Cambridge,Massachusetts,Series C,"Nov 19, 2025",$100M to $500M,Active,www.suno.com,"Suno is a music-technology company that provides an AI-powered platform for generating original songs from simple text prompts. It combines composition, lyrics, vocals, and instrumentation into fully produced tracks, making song-writing accessible even without musical training. Through Suno Studio, the company offers a browser-based generative audio workstation (GAW) that lets users layer and edit stems (vocals, drums, synths, etc.), adjust tempo and volume, and export as audio or MIDI. The platform also supports uploading of audio clips to remix or build around, giving creators both AI-assisted inspiration and hands-on control.",101-250,support@suno.com,Georg Kucsko,"Media and Entertainment, Music and Audio, Science and Engineering, Apps, Artificial Intelligence (AI), Music, Software"
Cala Health,San Mateo,California,Series C,"Apr 20, 2026",$10M to $50M,Active,calahealth.com/,"Cala Health is a bioelectronic medicine company focused on developing wearable neuromodulation therapies for chronic diseases. The company integrates neuroscience and technology to provide individualized peripheral nerve stimulation. Its primary product, Cala Trio therapy, is a non-invasive prescription treatment for essential tremor. Cala Health is also working on therapies for Parkinson's disease and other neurological conditions and areas in psychiatry, cardiology, and autoimmune disorders.",101-250,info@calahealth.com,Kate Rosenbluth,"Health Care, Science and Engineering, Medical, Medical Device, Neuroscience, Wearables"
Cognition,San Francisco,California,Series C,"Sep 8, 2025",,Active,www.cognition.ai,Cognition AI is an applied AI lab focused on building end-to-end software agents that act as collaborative AI teammates. Their aim is to support engineering teams in being more efficient and innovative in their projects.,101-250,,Russell Kaplan,"Internet Services, Science and Engineering, Software, Artificial Intelligence (AI), Foundational AI, Generative AI, Information Technology, Internet"
Resolve.ai,San Francisco,California,Series A,"Apr 16, 2026",,Active,resolveai.one,"Resolve.ai provides an artificial intelligence platform that automates software production operations and incident management for engineering teams. Its system autonomously analyzes alerts, investigates issues across infrastructure, code, and telemetry, and helps determine root causes with supporting evidence. Resolve.ai also suggests or generates remediation actions, such as code changes or scripts, to address production problems. The platform integrates with tools like GitHub, observability systems, and infrastructure services to support cost optimization and contextual development workflows. Resolve.ai processes metadata securely without storing raw customer data and offers controls to manage data access and compliance.",101-250,spiros@resolveai.one,Mayank Agarwal,"Internet Services, Other, Science and Engineering, Application Performance Management, Artificial Intelligence (AI), Cloud Computing, Collaboration, Developer Platform"
TENEX.AI,Sarasota,Florida,Series B,"Mar 31, 2026",,Active,tenex.ai,"TENEX.AI is a leading AI-native cybersecurity company that combines human expertise with artificial intelligence to protect digital assets through advanced Managed Detection and Response (MDR) services. The company employs a human-led Security Operations Center (SOC) that triages alerts and investigates threats, allowing teams to focus on strategic initiatives.",101-250,PR@tenex.ai,Edwin Solis,"Privacy and Security, Science and Engineering, Software, Artificial Intelligence (AI), Cyber Security, Network Security, SaaS"
Zócalo Health,Seattle,Washington,Series A,"Apr 23, 2026",$1M to $10M,Active,zocalo.health,"Zócalo Health is a primary care provider that delivers integrated medical, behavioral, and social care services, with a focus on improving access for underserved communities, particularly Latino populations. The company combines virtual clinical services with in-person community engagement, using outreach teams to connect with patients in local settings such as schools, churches, and community organizations. Each patient is supported by a coordinated care team that may include a community health worker, a physician, and a behavioral health specialist, who collaborate to develop personalized care plans addressing medical, social, and mental health needs. The organization also provides care coordination services, assisting patients with appointments, access to community resources, and ongoing health management. Its model emphasizes continuous engagement through both digital tools and community-based interactions to manage complex health conditions and improve care outcomes.",101-250,hello@zocalo.health,Erik Cardenas,"Health Care, Hospital, Wellness"
Pepper,New York,New York,Series C,"Feb 20, 2026",$10M to $50M,Active,www.usepepper.com,"Pepper provides an AI-powered sales platform designed for food distributors and suppliers to manage customer engagement and order workflows. The platform centralizes product catalogs, pricing, promotions, and inventory data, allowing sales representatives and customers to place and manage orders digitally. Pepper integrates with existing ERP and accounting systems to synchronize order processing, invoicing, and reporting functions. Its tools support mobile sales, real-time communication, and data tracking to streamline interactions between distributors and their buyers. The system also includes analytics features that help teams monitor purchasing patterns, manage accounts, and coordinate sales activities across channels.",101-250,info@usepepper.com,Bowie Cheung,"Science and Engineering, Software, Artificial Intelligence (AI), E-Commerce, Wholesale"
Slash,San Francisco,California,Series C,"Apr 16, 2026",$100M to $500M,Active,www.slash.com,"Slash provides a financial technology platform that enables businesses to manage banking, payments, and financial operations through a unified digital system. The company offers services such as business accounts, corporate cards, treasury management, and payment processing, allowing organizations to handle spending, transfers, and cash flow within a single interface. Its platform integrates core financial functions including checking accounts, ACH and wire transfers, and multi-entity account management, enabling businesses to operate across multiple entities or accounts with centralized visibility. The system also supports virtual and physical corporate cards with configurable spending controls, allowing companies to manage expenses and enforce financial policies at scale.",11-50,support@joinslash.com,Kevin Bai,"Banking, Financial Services, FinTech, Payments"
Firestorm,San Diego,California,Series B,"Apr 29, 2026",$10M to $50M,Active,www.launchfirestorm.com,"Firestorm is a defense technology company that develops modular, mission-adaptable unmanned aerial systems (UAS) designed for military applications. Its platform focuses on open-system architectures that allow operators to reconfigure hardware, software, propulsion, and payloads based on mission requirements. Firestorm also builds distributed manufacturing solutions such as containerized production units that enable on-site or remote fabrication of drones and components using additive manufacturing and automated workflows. The company offers multiple aerial systems, including larger modular drones, tube-launched systems, and lightweight hand-launched units, each designed for different operational roles such as surveillance, electronic warfare, or strike missions. In addition, it develops supporting technologies like onboard computing systems and software tools that enable autonomous operation, sensor integration, and third-party interoperability. Firestorm also provides simulation and mission-planning capabilities that allow users to test scenarios, train operators, and evaluate payload performance in virtual environments.",101-250,,Chad Mccoy,"Data and Analytics, Hardware, Science and Engineering, Aerospace, Artificial Intelligence (AI), Drones"
NoTraffic,Overland Park,Kansas,Series C,"Mar 24, 2026",$10M to $50M,Active,notraffic.com,"NoTraffic develops traffic management technology that coordinates signalized intersections using connected vehicle data and AI-based control systems. Its platform integrates with existing traffic infrastructure to analyze real-time road conditions, detect vehicles, and adjust signal timing to improve traffic flow. The company provides software and hardware components that enable communication between vehicles, sensors, and traffic signals. Its system supports applications such as congestion reduction, emergency-vehicle prioritization, and pedestrian-safety management. NoTraffic also offers data insights and monitoring tools that allow municipalities and transportation agencies to manage and evaluate intersection performance.",101-250,contact@notraffic.tech,Or Sela,"Hardware, Science and Engineering, Software, Artificial Intelligence (AI), Autonomous Vehicles, Computer Vision, Machine Learning, Public Safety"
TRM Labs,San Francisco,California,Series C,"Feb 4, 2026",$10M to $50M,Active,trmlabs.com,"TRM Labs is a blockchain intelligence company that helps financial institutions, crypto businesses, and government agencies detect and investigate crypto-related financial crime and fraud. Our products are trusted by leading companies including PayPal, Visa, FTX, Uniswap, Anchorage, and federal agencies such as the FBI and IRS. Every day, we tackle challenges in data engineering, data science, and threat intelligence to advance our mission to build a safer financial system for billions of people. To accomplish our mission, we have raised over $79M from JPMorgan Chase, Visa, Citi, PayPal, Block, Tiger Global, and Bessemer. Our team is made up of world class experts from the FBI, U.S. Secret Service, US Treasury Department, McKinsey, Coinbase, and top-tier tech companies. TRM is a remote-first workplace, with hubs in San Francisco, Washington, DC, and London.",251-500,contact@trmlabs.com,Esteban Castano,"Other, Payments, Professional Services, Big Data, Blockchain, Compliance, Cryptocurrency"
Skild AI,Pittsburgh,Pennsylvania,Series C,"Jan 14, 2026",$10M to $50M,Active,www.skild.ai,"Skild AI develops artificial intelligence systems that enable robots to understand and act in the physical world using a shared foundational model called the Skild Brain. The company’s technology allows robots of different types to navigate environments, perform tasks, and adapt to new situations without extensive task-specific programming. It offers tools and frameworks that help robotics teams integrate AI for manipulation, locomotion, inspection, and data collection tasks through scalable model architecture. Skild AI works with developers and enterprise partners to apply its AI model across multiple robotics use cases and hardware platforms, aiming to bridge digital intelligence with embodied robotic action.",11-50,admin@skild.tech,Abhinav Gupta,"Information Technology, Science and Engineering, Software, Artificial Intelligence (AI), Robotics"
